Producto por Categoría,CATEGORÍA CODEX
8,Alimentos preparados
71,"Bebidas, excepto productos lácteos"
74,"Carne y productos cárnicos, incluidas las aves de corral y la caza"
55,"Cereales y productos a base de cereales, derivados de granos de cereales, de raíces y tubérculos, legumbres y leguminosas, excluidos los productos de panadería de la categoría de alimentos"
16,Confitería
12,"Edulcorantes, incluida la miel"
205,"Frutas y hortalizas (incluidos hongos y setas, raíces y tubérculos, legumbres y leguminosas y áloe vera), algas marinas y nueces y semillas"
24,Grasas y aceites y emulsiones grasas
6,"Hielos comestibles, incluidos los sorbetes"
7,Huevos y productos a base de huevo
41,"Pescado y productos pesqueros, incluidos los moluscos, crustáceos y equinodermos"
6,Productos alimenticios para usos nutricionales especiales
20,Productos de panadería
61,"Productos lácteos y análogos, excepto los productos de la categoría 02.0"
53,"Sales, especias, sopas, salsas, ensaladas, productos proteínicos"
