COD MUN ;MUPIO
101;Zona 1
102;Zona 2
103;Zona 3
104;Zona 4
105;Zona 5
106;Zona 6
107;Zona 7
108;Zona 8
109;Zona 9
110;Zona 10
111;Zona 11
112;Zona 12
113;Zona 13
114;Zona 14
115;Zona 15
116;Zona 16
117;Zona 17
118;Zona 18
119;Zona 19
120;Zona 21
121;Zona 24
122;Zona 25
123;Santa Catarina Pinula
124;San José Pinula
125;San José del Golfo
126;Palencia
127;Chinautla
128;San Pedro Ayampuc
129;Mixco
130;San Pedro Sacatepéquez
131;San Juan Sacatepéquez
132;San Raymundo
133;Chuarrancho
134;Fraijanes
135;Amatitlán
136;Villa Nueva
137;Villa Canales
138;San Miguel Petapa
201;Guastatoya
202;Morazán
203;San Agustín Acasaguastlán
204;San Cristóbal Acasaguastlán
205;El Jícaro
206;Sansare
207;Sanarate
208;San Antonio La Paz
301;Antigua Guatemala
302;Jocotenango
303;Pastores
304;Sumpango
305;Santo Domingo Xenacoj
306;Santiago Sacatepéquez
307;San Bartolomé Milpas Altas
308;San Lucas Sacatepéquez
309;Santa Lucía Milpas Altas
310;Magdalena Milpas Altas
311;Santa María de Jesús
312;Ciudad Vieja
313;San Miguel Dueñas
314;San Juan Alotenango
315;San Antonio Aguas Calientes
316;Santa Catarina Barahona
401;Chimaltenango
402;San José Poaquil
403;San Martín Jilotepeque
404;San Juan Comalapa
405;Santa Apolonia
406;Tecpán Guatemala
407;Patzún
408;San Miguel Pochuta
409;Patzicía
410;Santa Cruz Balanyá
411;Acatenango
412;San Pedro Yepocapa
413;San Andrés Itzapa
414;Parramos
415;Zaragoza
416;El Tejar
501;Escuintla
502;Santa Lucía Cotzumalguapa
503;La Democracia
504;Siquinalá
505;Masagua
506;Tiquisate
507;La Gomera
508;Guanagazapa
509;San José
510;Iztapa
511;Palín
512;San Vicente Pacaya
513;Nueva Concepción
514;Sipacate
601;Cuilapa
602;Barberena
603;Santa Rosa de Lima
604;Casillas
605;San Rafael Las Flores
606;Oratorio
607;San Juan Tecuaco
608;Chiquimulilla
609;Taxisco
610;Santa María Ixhuatán
611;Guazacapán
612;Santa Cruz Naranjo
613;Pueblo Nuevo Viñas
614;Nueva Santa Rosa
701;Sololá
702;San José Chacayá
703;Santa María Visitación
704;Santa Lucía Utatlán
705;Nahualá
706;Santa Catarina Ixtahuacán
707;Santa Clara La Laguna
708;Concepción
709;San Andrés Semetabaj
710;Panajachel
711;Santa Catarina Palopó
712;San Antonio Palopó
713;San Lucas Tolimán
714;Santa Cruz La Laguna
715;San Pablo La Laguna
716;San Marcos La Laguna
717;San Juan La Laguna
718;San Pedro La Laguna
719;Santiago Atitlán
801;Totonicapán
802;San Cristóbal Totonicapán
803;San Francisco El Alto
804;San Andrés Xecul
805;Momostenango
806;Santa María Chiquimula
807;Santa Lucía la Reforma
808;San Bartolo Aguas Calientes
901;Quetzaltenango
902;Salcajá
903;San Juan Olintepeque
904;San Carlos Sija
905;Sibilia
906;Cabricán
907;Cajolá
908;San Miguel Siguilá
909;San Juan Ostuncalco
910;San Mateo
911;Concepción Chiquirichapa
912;San Martín Sacatepéquez
913;Almolonga
914;Cantel
915;Huitán
916;Zunil
917;Colomba Costa Cuca
918;San Francisco La Unión
919;El Palmar
920;Coatepeque
921;Génova
922;Flores Costa Cuca
923;La Esperanza
924;Palestina de Los Altos
1001;Mazatenango
1002;Cuyotenango
1003;San Francisco Zapotitlán
1004;San Bernardino
1005;San José el Ídolo
1006;Santo Domingo Suchitepéquez
1007;San Lorenzo
1008;Samayac
1009;San Pablo Jocopilas
1010;San Antonio Suchitepéquez
1011;San Miguel Panán
1012;San Gabriel
1013;Chicacao
1014;Patulul
1015;Santa Bárbara
1016;San Juan Bautista
1017;Santo Tomas La Unión
1018;Zunilito
1019;Pueblo Nuevo
